Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4257.16it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: hybrid)...
[HYBRID] Sample 103/1561 | F1: 0.92 | J: 1 | Rec: 1
[HYBRID] Sample 104/1561 | F1: 0.13 | J: 1 | Rec: 1
[HYBRID] Sample 105/1561 | F1: 0.14 | J: 1 | Rec: 1
[HYBRID] Sample 106/1561 | F1: 0.20 | J: 0 | Rec: 0
[HYBRID] Sample 107/1561 | F1: 0.70 | J: 1 | Rec: 1
[HYBRID] Sample 108/1561 | F1: 0.22 | J: 1 | Rec: 0
[HYBRID] Sample 109/1561 | F1: 0.26 | J: 1 | Rec: 0
[HYBRID] Sample 110/1561 | F1: 0.85 | J: 1 | Rec: 1
[HYBRID] Sample 111/1561 | F1: 0.76 | J: 1 | Rec: 1
[HYBRID] Sample 112/1561 | F1: 0.75 | J: 1 | Rec: 1
[HYBRID] Sample 113/1561 | F1: 0.70 | J: 1 | Rec: 1
[HYBRID] Sample 114/1561 | F1: 0.89 | J: 1 | Rec: 1
[HYBRID] Sample 115/1561 | F1: 0.31 | J: 1 | Rec: 1
[HYBRID] Sample 116/1561 | F1: 0.36 | J: 1 | Rec: 1
[HYBRID] Sample 117/1561 | F1: 0.89 | J: 1 | Rec: 0
[HYBRID] Sample 118/1561 | F1: 0.24 | J: 0 | Rec: 1
[HYBRID] Sample 119/1561 | F1: 0.41 | J: 0 | Rec: 1
[HYBRID] Sample 120/1561 | F1: 0.44 | J: 1 | Rec: 1
[HYBRID] Sample 121/1561 | F1: 0.42 | J: 1 | Rec: 1
[HYBRID] Sample 122/1561 | F1: 0.45 | J: 1 | Rec: 1
[HYBRID] Sample 123/1561 | F1: 0.61 | J: 1 | Rec: 0
[HYBRID] Sample 124/1561 | F1: 0.16 | J: 0 | Rec: 0
[HYBRID] Sample 125/1561 | F1: 1.00 | J: 1 | Rec: 1
[HYBRID] Sample 126/1561 | F1: 0.27 | J: 1 | Rec: 0
[HYBRID] Sample 127/1561 | F1: 0.15 | J: 1 | Rec: 0
[HYBRID] Sample 128/1561 | F1: 0.32 | J: 1 | Rec: 1
[HYBRID] Sample 129/1561 | F1: 0.13 | J: 1 | Rec: 0
[HYBRID] Sample 130/1561 | F1: 0.78 | J: 1 | Rec: 1
[HYBRID] Sample 131/1561 | F1: 0.61 | J: 1 | Rec: 0
[HYBRID] Sample 132/1561 | F1: 0.50 | J: 1 | Rec: 1
[HYBRID] Sample 133/1561 | F1: 0.71 | J: 1 | Rec: 0
[HYBRID] Sample 134/1561 | F1: 0.88 | J: 1 | Rec: 1
[HYBRID] Sample 135/1561 | F1: 0.58 | J: 1 | Rec: 1
[HYBRID] Sample 136/1561 | F1: 0.25 | J: 1 | Rec: 1
[HYBRID] Sample 137/1561 | F1: 0.56 | J: 1 | Rec: 1
[HYBRID] Sample 138/1561 | F1: 0.48 | J: 1 | Rec: 1
[HYBRID] Sample 139/1561 | F1: 0.64 | J: 1 | Rec: 1
[HYBRID] Sample 140/1561 | F1: 0.37 | J: 0 | Rec: 0
[HYBRID] Sample 141/1561 | F1: 0.79 | J: 1 | Rec: 0
[HYBRID] Sample 142/1561 | F1: 0.82 | J: 1 | Rec: 0
[HYBRID] Sample 143/1561 | F1: 0.65 | J: 1 | Rec: 0
[HYBRID] Sample 144/1561 | F1: 0.86 | J: 1 | Rec: 1
[HYBRID] Sample 145/1561 | F1: 0.47 | J: 1 | Rec: 1
[HYBRID] Sample 146/1561 | F1: 0.51 | J: 0 | Rec: 0
[HYBRID] Sample 147/1561 | F1: 0.28 | J: 0 | Rec: 1
[HYBRID] Sample 148/1561 | F1: 0.35 | J: 0 | Rec: 0
[HYBRID] Sample 149/1561 | F1: 0.71 | J: 1 | Rec: 1
[HYBRID] Sample 150/1561 | F1: 0.59 | J: 1 | Rec: 1
[HYBRID] Sample 151/1561 | F1: 0.16 | J: 0 | Rec: 0
[HYBRID] Sample 152/1561 | F1: 0.15 | J: 1 | Rec: 1
[HYBRID] Sample 153/1561 | F1: 0.11 | J: 1 | Rec: 1
[HYBRID] Sample 154/1561 | F1: 0.63 | J: 1 | Rec: 1
[HYBRID] Sample 155/1561 | F1: 0.25 | J: 1 | Rec: 0
[HYBRID] Sample 156/1561 | F1: 0.58 | J: 1 | Rec: 0
[HYBRID] Sample 157/1561 | F1: 0.87 | J: 1 | Rec: 0
[HYBRID] Sample 158/1561 | F1: 0.79 | J: 1 | Rec: 0
[HYBRID] Sample 159/1561 | F1: 0.80 | J: 1 | Rec: 1
[HYBRID] Sample 160/1561 | F1: 0.67 | J: 1 | Rec: 1
[HYBRID] Sample 161/1561 | F1: 0.12 | J: 1 | Rec: 1
[HYBRID] Sample 162/1561 | F1: 0.23 | J: 1 | Rec: 1
[HYBRID] Sample 163/1561 | F1: 0.73 | J: 1 | Rec: 1
[HYBRID] Sample 164/1561 | F1: 0.64 | J: 1 | Rec: 1
[HYBRID] Sample 165/1561 | F1: 0.15 | J: 1 | Rec: 0
[HYBRID] Sample 166/1561 | F1: 0.64 | J: 1 | Rec: 1
[HYBRID] Sample 167/1561 | F1: 0.61 | J: 1 | Rec: 0
[HYBRID] Sample 168/1561 | F1: 0.16 | J: 1 | Rec: 1
[HYBRID] Sample 169/1561 | F1: 0.21 | J: 0 | Rec: 0
[HYBRID] Sample 170/1561 | F1: 0.24 | J: 0 | Rec: 0
[HYBRID] Sample 171/1561 | F1: 1.00 | J: 1 | Rec: 1
[HYBRID] Sample 172/1561 | F1: 0.34 | J: 1 | Rec: 0
[HYBRID] Sample 173/1561 | F1: 0.34 | J: 0 | Rec: 0
[HYBRID] Sample 174/1561 | F1: 0.26 | J: 1 | Rec: 0
[HYBRID] Sample 175/1561 | F1: 0.85 | J: 1 | Rec: 1
[HYBRID] Sample 176/1561 | F1: 0.10 | J: 0 | Rec: 1
[HYBRID] Sample 177/1561 | F1: 0.48 | J: 1 | Rec: 0
[HYBRID] Sample 178/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 179/1561 | F1: 0.50 | J: 1 | Rec: 1
[HYBRID] Sample 180/1561 | F1: 0.83 | J: 1 | Rec: 1
[HYBRID] Sample 181/1561 | F1: 0.08 | J: 1 | Rec: 1
[HYBRID] Sample 182/1561 | F1: 0.55 | J: 1 | Rec: 1
[HYBRID] Sample 183/1561 | F1: 0.79 | J: 1 | Rec: 1
[HYBRID] Sample 184/1561 | F1: 0.65 | J: 1 | Rec: 1
[HYBRID] Sample 185/1561 | F1: 0.55 | J: 0 | Rec: 1
[HYBRID] Sample 186/1561 | F1: 0.44 | J: 0 | Rec: 1
[HYBRID] Sample 187/1561 | F1: 0.05 | J: 0 | Rec: 1
[HYBRID] Sample 188/1561 | F1: 0.15 | J: 1 | Rec: 1
[HYBRID] Sample 189/1561 | F1: 0.62 | J: 1 | Rec: 1
[HYBRID] Sample 190/1561 | F1: 0.44 | J: 1 | Rec: 1
[HYBRID] Sample 191/1561 | F1: 0.13 | J: 1 | Rec: 0
[HYBRID] Sample 192/1561 | F1: 0.26 | J: 1 | Rec: 1
[HYBRID] Sample 193/1561 | F1: 0.39 | J: 1 | Rec: 1
[HYBRID] Sample 194/1561 | F1: 0.93 | J: 1 | Rec: 1
[HYBRID] Sample 195/1561 | F1: 0.70 | J: 1 | Rec: 1
[HYBRID] Sample 196/1561 | F1: 0.41 | J: 1 | Rec: 1
[HYBRID] Sample 197/1561 | F1: 0.45 | J: 1 | Rec: 1
[HYBRID] Sample 198/1561 | F1: 0.56 | J: 1 | Rec: 1
[HYBRID] Sample 199/1561 | F1: 0.91 | J: 1 | Rec: 0
[HYBRID] Sample 200/1561 | F1: 0.66 | J: 1 | Rec: 1
[HYBRID] Sample 201/1561 | F1: 0.52 | J: 1 | Rec: 0
[HYBRID] Sample 202/1561 | F1: 0.48 | J: 1 | Rec: 1
[HYBRID] Sample 203/1561 | F1: 0.74 | J: 1 | Rec: 1
[HYBRID] Sample 204/1561 | F1: 0.33 | J: 1 | Rec: 1
[HYBRID] Sample 205/1561 | F1: 0.24 | J: 0 | Rec: 0
[HYBRID] Sample 206/1561 | F1: 0.71 | J: 1 | Rec: 0
[HYBRID] Sample 207/1561 | F1: 1.00 | J: 1 | Rec: 1
[HYBRID] Sample 208/1561 | F1: 0.76 | J: 1 | Rec: 0
[HYBRID] Sample 209/1561 | F1: 0.42 | J: 1 | Rec: 1
[HYBRID] Sample 210/1561 | F1: 0.83 | J: 1 | Rec: 1
[HYBRID] Sample 211/1561 | F1: 0.40 | J: 1 | Rec: 0
[HYBRID] Sample 212/1561 | F1: 0.09 | J: 0 | Rec: 0
[HYBRID] Sample 213/1561 | F1: 0.56 | J: 1 | Rec: 0
[HYBRID] Sample 214/1561 | F1: 0.40 | J: 1 | Rec: 1
[HYBRID] Sample 215/1561 | F1: 0.34 | J: 0 | Rec: 0
[HYBRID] Sample 216/1561 | F1: 0.35 | J: 0 | Rec: 0
[HYBRID] Sample 217/1561 | F1: 0.50 | J: 1 | Rec: 0
[HYBRID] Sample 218/1561 | F1: 0.55 | J: 1 | Rec: 0
[HYBRID] Sample 219/1561 | F1: 0.48 | J: 1 | Rec: 1
[HYBRID] Sample 220/1561 | F1: 0.37 | J: 1 | Rec: 1
[HYBRID] Sample 221/1561 | F1: 0.82 | J: 1 | Rec: 1
[HYBRID] Sample 223/1561 | F1: 0.48 | J: 1 | Rec: 0
[HYBRID] Sample 222/1561 | F1: 0.67 | J: 1 | Rec: 1
[HYBRID] Sample 227/1561 | F1: 0.28 | J: 1 | Rec: 1
[HYBRID] Sample 226/1561 | F1: 0.51 | J: 1 | Rec: 1
[HYBRID] Sample 230/1561 | F1: 0.11 | J: 0 | Rec: 0
[HYBRID] Sample 225/1561 | F1: 0.68 | J: 1 | Rec: 1
[HYBRID] Sample 228/1561 | F1: 0.81 | J: 1 | Rec: 1
[HYBRID] Sample 224/1561 | F1: 1.00 | J: 1 | Rec: 1
[HYBRID] Sample 229/1561 | F1: 0.57 | J: 1 | Rec: 1
[HYBRID] Sample 231/1561 | F1: 0.82 | J: 1 | Rec: 1
[HYBRID] Sample 232/1561 | F1: 0.60 | J: 1 | Rec: 1
[HYBRID] Sample 233/1561 | F1: 0.47 | J: 0 | Rec: 1
[HYBRID] Sample 234/1561 | F1: 0.91 | J: 1 | Rec: 1
[HYBRID] Sample 235/1561 | F1: 0.10 | J: 1 | Rec: 0
[HYBRID] Sample 236/1561 | F1: 0.18 | J: 0 | Rec: 0
[HYBRID] Sample 237/1561 | F1: 0.70 | J: 1 | Rec: 1
[HYBRID] Sample 238/1561 | F1: 0.68 | J: 1 | Rec: 1
[HYBRID] Sample 239/1561 | F1: 0.38 | J: 1 | Rec: 1
