Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4147.58it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Starting execution for 1561 samples (Method: bm25)...
[BM25] Sample 108/1561 | F1: 0.22 | J: 1 | Rec: 0
[BM25] Sample 109/1561 | F1: 0.24 | J: 1 | Rec: 0
[BM25] Sample 110/1561 | F1: 0.87 | J: 1 | Rec: 1
[BM25] Sample 111/1561 | F1: 0.58 | J: 1 | Rec: 1
[BM25] Sample 112/1561 | F1: 0.75 | J: 1 | Rec: 1
[BM25] Sample 113/1561 | F1: 0.64 | J: 1 | Rec: 1
[BM25] Sample 114/1561 | F1: 0.89 | J: 1 | Rec: 1
[BM25] Sample 115/1561 | F1: 0.37 | J: 1 | Rec: 1
[BM25] Sample 116/1561 | F1: 0.35 | J: 1 | Rec: 1
[BM25] Sample 117/1561 | F1: 0.76 | J: 1 | Rec: 1
[BM25] Sample 118/1561 | F1: 0.40 | J: 1 | Rec: 1
[BM25] Sample 119/1561 | F1: 0.53 | J: 1 | Rec: 1
[BM25] Sample 120/1561 | F1: 0.60 | J: 1 | Rec: 1
[BM25] Sample 121/1561 | F1: 0.53 | J: 1 | Rec: 1
[BM25] Sample 122/1561 | F1: 0.45 | J: 1 | Rec: 1
[BM25] Sample 123/1561 | F1: 0.61 | J: 1 | Rec: 0
[BM25] Sample 124/1561 | F1: 0.19 | J: 0 | Rec: 0
[BM25] Sample 125/1561 | F1: 1.00 | J: 1 | Rec: 1
[BM25] Sample 126/1561 | F1: 0.30 | J: 1 | Rec: 0
[BM25] Sample 127/1561 | F1: 0.15 | J: 1 | Rec: 0
[BM25] Sample 128/1561 | F1: 0.32 | J: 1 | Rec: 1
[BM25] Sample 129/1561 | F1: 0.11 | J: 1 | Rec: 0
[BM25] Sample 130/1561 | F1: 0.77 | J: 1 | Rec: 0
[BM25] Sample 131/1561 | F1: 0.87 | J: 1 | Rec: 1
[BM25] Sample 132/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 133/1561 | F1: 0.69 | J: 1 | Rec: 0
[BM25] Sample 134/1561 | F1: 0.84 | J: 1 | Rec: 1
[BM25] Sample 135/1561 | F1: 0.57 | J: 1 | Rec: 1
[BM25] Sample 136/1561 | F1: 0.32 | J: 1 | Rec: 1
[BM25] Sample 137/1561 | F1: 0.57 | J: 1 | Rec: 1
[BM25] Sample 138/1561 | F1: 0.59 | J: 1 | Rec: 1
[BM25] Sample 139/1561 | F1: 0.87 | J: 1 | Rec: 1
[BM25] Sample 140/1561 | F1: 0.36 | J: 0 | Rec: 0
[BM25] Sample 141/1561 | F1: 0.79 | J: 1 | Rec: 0
[BM25] Sample 142/1561 | F1: 0.82 | J: 1 | Rec: 0
[BM25] Sample 143/1561 | F1: 0.51 | J: 1 | Rec: 1
[BM25] Sample 144/1561 | F1: 0.84 | J: 1 | Rec: 1
[BM25] Sample 145/1561 | F1: 0.45 | J: 1 | Rec: 1
[BM25] Sample 146/1561 | F1: 0.32 | J: 0 | Rec: 0
[BM25] Sample 147/1561 | F1: 0.28 | J: 0 | Rec: 1
[BM25] Sample 148/1561 | F1: 0.39 | J: 0 | Rec: 0
[BM25] Sample 149/1561 | F1: 0.63 | J: 1 | Rec: 1
[BM25] Sample 150/1561 | F1: 0.53 | J: 1 | Rec: 1
[BM25] Sample 151/1561 | F1: 0.16 | J: 1 | Rec: 0
[BM25] Sample 152/1561 | F1: 0.16 | J: 1 | Rec: 1
[BM25] Sample 153/1561 | F1: 0.13 | J: 0 | Rec: 1
[BM25] Sample 154/1561 | F1: 0.26 | J: 1 | Rec: 1
[BM25] Sample 155/1561 | F1: 0.31 | J: 0 | Rec: 0
[BM25] Sample 156/1561 | F1: 0.58 | J: 1 | Rec: 0
[BM25] Sample 157/1561 | F1: 0.87 | J: 1 | Rec: 0
[BM25] Sample 158/1561 | F1: 0.79 | J: 1 | Rec: 0
[BM25] Sample 159/1561 | F1: 0.73 | J: 1 | Rec: 1
[BM25] Sample 160/1561 | F1: 0.64 | J: 1 | Rec: 1
[BM25] Sample 161/1561 | F1: 0.13 | J: 1 | Rec: 1
[BM25] Sample 162/1561 | F1: 0.66 | J: 1 | Rec: 1
[BM25] Sample 163/1561 | F1: 0.40 | J: 1 | Rec: 1
[BM25] Sample 164/1561 | F1: 0.62 | J: 1 | Rec: 1
[BM25] Sample 165/1561 | F1: 0.23 | J: 1 | Rec: 0
[BM25] Sample 166/1561 | F1: 0.64 | J: 1 | Rec: 1
[BM25] Sample 167/1561 | F1: 0.51 | J: 1 | Rec: 0
[BM25] Sample 168/1561 | F1: 0.16 | J: 1 | Rec: 1
[BM25] Sample 169/1561 | F1: 0.40 | J: 1 | Rec: 1
[BM25] Sample 170/1561 | F1: 0.26 | J: 0 | Rec: 0
[BM25] Sample 171/1561 | F1: 1.00 | J: 1 | Rec: 1
[BM25] Sample 172/1561 | F1: 0.53 | J: 1 | Rec: 0
[BM25] Sample 173/1561 | F1: 0.29 | J: 0 | Rec: 1
[BM25] Sample 174/1561 | F1: 0.15 | J: 0 | Rec: 0
[BM25] Sample 175/1561 | F1: 0.84 | J: 1 | Rec: 1
[BM25] Sample 176/1561 | F1: 0.12 | J: 1 | Rec: 1
[BM25] Sample 177/1561 | F1: 0.50 | J: 1 | Rec: 1
[BM25] Sample 178/1561 | F1: 0.34 | J: 1 | Rec: 1
[BM25] Sample 179/1561 | F1: 0.43 | J: 1 | Rec: 1
[BM25] Sample 180/1561 | F1: 0.68 | J: 1 | Rec: 1
[BM25] Sample 181/1561 | F1: 0.06 | J: 1 | Rec: 1
[BM25] Sample 182/1561 | F1: 0.46 | J: 1 | Rec: 1
[BM25] Sample 183/1561 | F1: 0.77 | J: 1 | Rec: 1
[BM25] Sample 184/1561 | F1: 0.47 | J: 1 | Rec: 1
[BM25] Sample 185/1561 | F1: 0.36 | J: 1 | Rec: 0
[BM25] Sample 186/1561 | F1: 0.45 | J: 0 | Rec: 1
[BM25] Sample 187/1561 | F1: 0.11 | J: 0 | Rec: 1
[BM25] Sample 188/1561 | F1: 0.19 | J: 1 | Rec: 1
[BM25] Sample 189/1561 | F1: 0.53 | J: 1 | Rec: 1
[BM25] Sample 190/1561 | F1: 0.32 | J: 1 | Rec: 1
